Domain Queried,Answer Type,Domain Name Returned,TTL,Unknown,Query Type,IP address
1,www.google.com, ANSWER SECTION,www.google.com.,58,IN,A,216.58.221.36
1,www.google.com, AUTHORITY SECTION,google.com.,91600,IN,NS,ns1.google.com.
1,www.google.com, AUTHORITY SECTION,google.com.,91600,IN,NS,ns3.google.com.
1,www.google.com, AUTHORITY SECTION,google.com.,91600,IN,NS,ns4.google.com.
1,www.google.com, AUTHORITY SECTION,google.com.,91600,IN,NS,ns2.google.com.
1,www.google.com, ADDITIONAL SECTION,ns1.google.com.,162218,IN,A,216.239.32.10
1,www.google.com, ADDITIONAL SECTION,ns2.google.com.,247458,IN,A,216.239.34.10
1,www.google.com, ADDITIONAL SECTION,ns3.google.com.,10847,IN,A,216.239.36.10
1,www.google.com, ADDITIONAL SECTION,ns3.google.com.,10851,IN,AAAA,2001:4860:4802:36::a
1,www.google.com, ADDITIONAL SECTION,ns4.google.com.,5536,IN,A,216.239.38.10
2,www.yahoo.com, ANSWER SECTION,www.yahoo.com.,614,IN,CNAME,atsv2,fp.wg1.b.yahoo.com.
2,www.yahoo.com, AUTHORITY SECTION,com.,6574,IN,NS,l.gtld,servers.net.
2,www.yahoo.com, AUTHORITY SECTION,com.,6574,IN,NS,a.gtld,servers.net.
2,www.yahoo.com, AUTHORITY SECTION,com.,6574,IN,NS,e.gtld,servers.net.
2,www.yahoo.com, AUTHORITY SECTION,com.,6574,IN,NS,k.gtld,servers.net.
2,www.yahoo.com, AUTHORITY SECTION,com.,6574,IN,NS,b.gtld,servers.net.
2,www.yahoo.com, AUTHORITY SECTION,com.,6574,IN,NS,m.gtld,servers.net.
2,www.yahoo.com, AUTHORITY SECTION,com.,6574,IN,NS,h.gtld,servers.net.
2,www.yahoo.com, AUTHORITY SECTION,com.,6574,IN,NS,d.gtld,servers.net.
2,www.yahoo.com, AUTHORITY SECTION,com.,6574,IN,NS,f.gtld,servers.net.
2,www.yahoo.com, AUTHORITY SECTION,com.,6574,IN,NS,c.gtld,servers.net.
2,www.yahoo.com, AUTHORITY SECTION,com.,6574,IN,NS,j.gtld,servers.net.
2,www.yahoo.com, AUTHORITY SECTION,com.,6574,IN,NS,g.gtld,servers.net.
2,www.yahoo.com, AUTHORITY SECTION,com.,6574,IN,NS,i.gtld,servers.net.
2,www.yahoo.com, ADDITIONAL SECTION,a.gtld,servers.net.,50141,IN,A,192.5.6.30
2,www.yahoo.com, ADDITIONAL SECTION,a.gtld,servers.net.,16818,IN,AAAA,2001:503:a83e::2:30
2,www.yahoo.com, ADDITIONAL SECTION,b.gtld,servers.net.,124456,IN,A,192.33.14.30
2,www.yahoo.com, ADDITIONAL SECTION,b.gtld,servers.net.,170202,IN,AAAA,2001:503:231d::2:30
2,www.yahoo.com, ADDITIONAL SECTION,c.gtld,servers.net.,96849,IN,A,192.26.92.30
2,www.yahoo.com, ADDITIONAL SECTION,c.gtld,servers.net.,170202,IN,AAAA,2001:503:83eb::30
2,www.yahoo.com, ADDITIONAL SECTION,d.gtld,servers.net.,6206,IN,A,192.31.80.30
2,www.yahoo.com, ADDITIONAL SECTION,d.gtld,servers.net.,68115,IN,AAAA,2001:500:856e::30
2,www.yahoo.com, ADDITIONAL SECTION,e.gtld,servers.net.,87975,IN,A,192.12.94.30
2,www.yahoo.com, ADDITIONAL SECTION,e.gtld,servers.net.,170202,IN,AAAA,2001:502:1ca1::30
